"GEN","Nsamp","rep","FIT","conv","rmse_p","theta_hat","p1_hat","p2_hat","p3_hat"
"DMstrong",125,8,"DM",TRUE,0.126516278495806,0.397468483291414,0.135342265345069,0.187850197280251,0.67680753737468
"MN",250,8,"MN",TRUE,0.0208486610281492,NA,0.222,0.306,0.472
"MN",250,8,"DM",TRUE,0.0208487783159174,1274.91112048958,0.221999347638792,0.306001175085881,0.471999477275326
"DMstrong",250,8,"MN",TRUE,0.0743146463805532,NA,0.122,0.4,0.478
"DMstrong",250,8,"DM",TRUE,0.0817132483252974,0.0393698546844778,0.12533921924211,0.413716961779122,0.460943818978768
"MN",25,9,"MN",TRUE,0.0163299316185545,NA,0.2,0.28,0.52
"MN",25,9,"DM",TRUE,0.0163363127553458,2787.73640657801,0.199993888955532,0.279995240957618,0.52001087008685
"DMstrong",25,9,"MN",TRUE,0.114309521329882,NA,0.34,0.16,0.5
"DMstrong",25,9,"DM",TRUE,0.114315648163905,7515.10365035438,0.339995039952062,0.159980035662779,0.500024924385159
"MN",125,9,"MN",TRUE,0.0395979797464467,NA,0.192,0.352,0.456
"MN",125,9,"DM",TRUE,0.0395967149539719,6466.37696832946,0.191998572608703,0.35199897014831,0.456002457242986
"DMstrong",125,9,"MN",TRUE,0.110320744498334,NA,0.344,0.176,0.48
"DMstrong",125,9,"DM",TRUE,0.111104632471643,0.249773267956981,0.341662885742692,0.17030363431992,0.488033479937388
"MN",250,9,"MN",TRUE,0.0139522996909709,NA,0.202,0.316,0.482
"MN",250,9,"DM",TRUE,0.0139502118408706,12279.5934085926,0.201999045089112,0.315997991381208,0.482002963529681
"DMstrong",250,9,"MN",TRUE,0.102917442642149,NA,0.324,0.304,0.372
